% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.182	2	2	19	3	1	2	137
0.183	2	2	19	4	1	2	137
0.184	2	2	19	5	1	2	137
0.185	2	2	19	6	1	2	137
0.186	2	2	19	7	1	2	137
0.187	2	2	19	8	1	2	137
0.188	2	2	19	9	1	2	137
0.189	2	2	19	10	1	2	137
0.19	2	2	20	1	1	2	137
0.191	2	2	20	2	1	2	137
0.192	2	2	20	3	1	2	137
0.193	2	2	20	4	1	2	137
0.194	2	2	20	5	1	2	137
0.195	2	2	20	6	1	2	137
0.196	2	2	20	7	1	2	137
0.197	2	2	20	8	1	2	137
0.198	2	2	20	9	1	2	137
0.199	2	2	20	10	1	2	137
0.2	2	2	21	1	1	2	137
0.201	2	2	21	2	1	2	137
0.202	2	2	21	3	1	2	137
0.203	2	2	21	4	1	2	137
0.204	2	2	21	5	1	2	137
0.205	2	2	21	6	1	2	137
0.206	2	2	21	7	1	2	137
0.207	2	2	21	8	1	2	137
0.208	2	2	21	9	1	2	137
0.209	2	2	21	10	1	2	137
0.21	2	2	22	1	1	2	137
0.211	2	2	22	2	1	2	137
0.212	2	2	22	3	1	2	137
0.213	2	2	22	4	1	2	137
0.214	2	2	22	5	1	2	137
0.215	2	2	22	6	1	2	137
0.216	2	2	22	7	1	2	137
0.217	2	2	22	8	1	2	137
0.218	2	2	22	9	1	2	137
0.219	2	2	22	10	1	2	137
0.22	2	2	23	1	1	2	137
0.221	2	2	23	2	1	2	137
0.222	2	2	23	3	1	2	137
0.223	2	2	23	4	1	2	137
0.224	2	2	23	5	1	2	137
0.225	2	2	23	6	1	2	137
0.226	2	2	23	7	1	2	137
0.227	2	2	23	8	1	2	137
0.228	2	2	23	9	1	2	137
0.229	2	2	23	10	1	2	137
0.23	2	2	24	1	1	2	137
0.231	2	2	24	2	1	2	137
0.232	2	2	24	3	1	2	137
0.233	2	2	24	4	1	2	137
0.234	2	2	24	5	1	2	137
0.235	2	2	24	6	1	2	137
0.236	2	2	24	7	1	2	137
0.237	2	2	24	8	1	2	137
0.238	2	2	24	9	1	2	137
0.239	2	2	24	10	1	2	137
0.24	2	2	25	1	1	2	137
0.241	2	2	25	2	1	2	137
0.242	2	2	25	3	1	2	137
0.243	2	2	25	4	1	2	137
0.244	2	2	25	5	1	2	137
0.245	2	2	25	6	1	2	137
0.246	2	2	25	7	1	2	137
0.247	2	2	25	8	1	2	137
0.248	2	2	25	9	1	2	137
0.249	2	2	25	10	1	2	137
0.25	2	2	26	1	1	2	137
0.251	2	2	26	2	1	2	137
0.252	2	2	26	3	1	2	137
0.253	2	2	26	4	1	2	137
0.254	2	2	26	5	1	2	137
0.255	2	2	26	6	1	2	137
0.256	2	2	26	7	1	2	137
0.257	2	2	26	8	1	2	137
0.258	2	2	26	9	1	2	137
0.259	2	2	26	10	1	2	137
0.26	2	2	27	1	1	2	137
0.261	2	2	27	2	1	2	137
0.262	2	2	27	3	1	2	137
0.263	2	2	27	4	1	2	137
0.264	2	2	27	5	1	2	137
0.265	2	2	27	6	1	2	137
0.266	2	2	27	7	1	2	137
0.267	2	2	27	8	1	2	137
0.268	2	2	27	9	1	2	137
0.269	2	2	27	10	1	2	137
0.27	2	2	28	1	1	2	137
0.271	2	2	28	2	1	2	137
0.272	2	2	28	3	1	2	137
0.273	2	2	28	4	1	2	137
0.274	2	2	28	5	1	2	137
0.275	2	2	28	6	1	2	137
0.276	2	2	28	7	1	2	137
0.277	2	2	28	8	1	2	137
0.278	2	2	28	9	1	2	137
0.279	2	2	28	10	1	2	137
0.28	2	2	29	1	1	2	137
0.281	2	2	29	2	1	2	137
0.282	2	2	29	3	1	2	137
0.283	2	2	29	4	1	2	137
0.284	2	2	29	5	1	2	137
0.285	2	2	29	6	1	2	137
0.286	2	2	29	7	1	2	137
0.287	2	2	29	8	1	2	137
0.288	2	2	29	9	1	2	137
0.289	2	2	29	10	1	2	137
0.29	2	2	30	1	1	2	137
0.291	2	2	30	2	1	2	137
0.292	2	2	30	3	1	2	137
0.293	2	2	30	4	1	2	137
0.294	2	2	30	5	1	2	137
0.295	2	2	30	6	1	2	137
0.296	2	2	30	7	1	2	137
0.297	2	2	30	8	1	2	137
0.298	2	2	30	9	1	2	137
0.299	2	2	30	10	1	2	137
0.3	2	2	31	1	1	2	137
0.301	2	2	31	2	1	2	137
0.302	2	2	31	3	1	2	137
0.303	2	2	31	4	1	2	137
0.304	2	2	31	5	1	2	137
0.305	2	2	31	6	1	2	137
0.306	2	2	31	7	1	2	137
0.307	2	2	31	8	1	2	137
0.308	2	2	31	9	1	2	137
0.309	2	2	31	10	1	2	137
0.31	2	2	32	1	1	2	137
0.311	2	2	32	2	1	2	137
0.312	2	2	32	3	1	2	137
0.313	2	2	32	4	1	2	137
0.314	2	2	32	5	1	2	137
0.315	2	2	32	6	1	2	137
0.316	2	2	32	7	1	2	137
0.317	2	2	32	8	1	2	137
0.318	2	2	32	9	1	2	137
0.319	2	2	32	10	1	2	137
0.32	2	2	33	1	1	2	137
0.321	2	2	33	2	1	2	137
0.322	2	2	33	3	1	2	137
0.323	2	2	33	4	1	2	137
0.324	2	2	33	5	1	2	137
0.325	2	2	33	6	1	2	137
0.326	2	2	33	7	1	2	137
0.327	2	2	33	8	1	2	137
0.328	2	2	33	9	1	2	137
0.329	2	2	33	10	1	2	137
0.33	2	2	34	1	1	2	137
0.331	2	2	34	2	1	2	137
0.332	2	2	34	3	1	2	137
0.333	2	2	34	4	1	2	137
0.334	2	2	34	5	1	2	137
0.335	2	2	34	6	1	2	137
0.336	2	2	34	7	1	2	137
0.337	2	2	34	8	1	2	137
0.338	2	2	34	9	1	2	137
0.339	2	2	34	10	1	2	137
0.34	2	2	35	1	1	2	137
0.341	2	2	35	2	1	2	137
0.342	2	2	35	3	1	2	137
0.343	2	2	35	4	1	2	137
0.344	2	2	35	5	1	2	137
0.345	2	2	35	6	1	2	137
0.346	2	2	35	7	1	2	137
0.347	2	2	35	8	1	2	137
0.348	2	2	35	9	1	2	137
0.349	2	2	35	10	1	2	137
0.35	2	2	36	1	1	2	137
0.351	2	2	36	2	1	2	137
0.352	2	2	36	3	1	2	137
0.353	2	2	36	4	1	2	137
0.354	2	2	36	5	1	2	137
0.355	2	2	36	6	1	2	137
0.356	2	2	36	7	1	2	137
0.357	2	2	36	8	1	2	137
0.358	2	2	36	9	1	2	137
0.359	2	2	36	10	1	2	137
0.36	2	2	37	1	1	2	137
0.361	2	2	37	2	1	2	137
0.362	2	2	37	3	1	2	137
0.363	2	2	37	4	1	2	137
0.364	2	2	37	5	1	2	137
0.365	2	2	37	6	1	2	137
0.366	2	2	37	7	1	2	137
0.367	2	2	37	8	1	2	137
0.368	2	2	37	9	1	2	137
0.369	2	2	37	10	1	2	137
0.37	2	2	38	1	1	2	137
0.371	2	2	38	2	1	2	137
0.372	2	2	38	3	1	2	137
0.373	2	2	38	4	1	2	137
0.374	2	2	38	5	1	2	137
0.375	2	2	38	6	1	2	137
0.376	2	2	38	7	1	2	137
0.377	2	2	38	8	1	2	137
0.378	2	2	38	9	1	2	137
0.379	2	2	38	10	1	2	137
0.38	2	2	39	1	1	2	137
0.381	2	2	39	2	1	2	137
0.382	2	2	39	3	1	2	137
0.383	2	2	39	4	1	2	137
0.384	2	2	39	5	1	2	137
0.385	2	2	39	6	1	2	137
0.386	2	2	39	7	1	2	137
0.387	2	2	39	8	1	2	137
0.388	2	2	39	9	1	2	137
0.389	2	2	39	10	1	2	137
0.39	2	2	40	1	1	2	137
0.391	2	2	40	2	1	2	137
0.392	2	2	40	3	1	2	137
0.393	2	2	40	4	1	2	137
0.394	2	2	40	5	1	2	137
0.395	2	2	40	6	1	2	137
0.396	2	2	40	7	1	2	137
0.397	2	2	40	8	1	2	137
0.398	2	2	40	9	1	2	137
0.399	2	2	40	10	1	2	137
0.4	2	2	41	1	1	2	137
